ID1,Name1,Cnt1,ID2,Name2,Cnt2,ID3,Name3,Cnt3
1,Smith,729 862,51,Bailey,111 011,101,Cole,68 854
2,Jones,578 261,52,Parker,109 943,102,Pearce,68 707
3,Taylor,458 268,53,Miller,109 474,103,Dean,68 073
4,Williams,411 385,54,Davis,108 041,104,Foster,67 675
5,Brown,380 443,55,Murphy,106 245,105,Harvey,67 231
6,Davies,316 982,56,Price,105 993,106,Hudson,66 488
7,Evans,231 844,57,Bell,105 417,107,Gibson,66 246
8,Wilson,227 652,58,Baker,104 639,108,Mills,65 966
9,Thomas,220 228,59,Griffiths,104 048,109,Berry,65 022
10,Roberts,219 694,60,Kelly,102 415,110,Barnes,64 291
11,Johnson,214 969,61,Simpson,101 082,111,Pearson,64 156
12,Lewis,198 193,62,Marshall,97 225,112,Kaur,63 969
13,Walker,195 372,63,Collins,95 210,113,Booth,63 239
14,Robinson,187 889,64,Bennett,94 402,114,Dixon,63 151
15,Wood,186 261,65,Cox,92 572,115,Grant,63 130
16,Thompson,183 266,66,Richardson,92 558,116,Gordon,62 747
17,White,181 979,67,Fox,92 124,117,Lane,62 226
18,Watson,181 296,68,Gray,90 917,118,Harper,61 606
19,Jackson,173 538,69,Rose,89 001,119,Ali,61 008
20,Wright,171 438,70,Chapman,88 136,120,Hart,60 683
21,Green,166 423,71,Hunt,86 792,121,Mcdonald,60 431
22,Harris,161 505,72,Robertson,86 269,122,Brooks,59 633
23,Cooper,161 076,73,Shaw,86 049,123,Ryan,59 545
24,King,160 918,74,Reynolds,85 228,124,Carr,59 130
25,Lee,159 502,75,Lloyd,85 021,125,Macdonald,58 450
26,Martin,152 842,76,Ellis,84 914,126,Hamilton,58 170
27,Clarke,152 502,77,Richards,83 575,127,Johnston,58 060
28,James,151 855,78,Russell,82 898,128,West,57 780
29,Morgan,150 454,79,Wilkinson,82 570,129,Gill,57 716
30,Hughes,147 802,80,Khan,80 429,130,Dawson,57 637
31,Edwards,147 540,81,Graham,80 026,131,Armstrong,56 917
32,Hill,145 723,82,Stewart,79 031,132,Gardner,56 314
33,Moore,144 446,83,Reid,78 783,133,Stone,55 920
34,Clark,140 662,84,Murray,77 127,134,Andrews,55 371
35,Harrison,137 103,85,Powell,76 973,135,Williamson,55 302
36,Scott,134 059,86,Palmer,75 969,136,Barker,55 092
37,Young,131 862,87,Holmes,75 423,137,George,54 666
38,Morris,131 499,88,Rogers,74 821,138,Fisher,54 294
39,Hall,129 805,89,Stevens,73 965,139,Cunningham,54 280
40,Ward,125 643,90,Walsh,73 208,140,Watts,54 124
41,Turner,125 278,91,Hunter,72 547,141,Webb,54 036
42,Carter,124 343,92,Thomson,71 616,142,Lawrence,53 575
43,Phillips,121 845,93,Matthews,70 610,143,Bradley,52 955
44,Mitchell,121 734,94,Ross,70 274,144,Jenkins,52 608
45,Patel,119 855,95,Owen,69 870,145,Wells,52 410
46,Adams,116 035,96,Mason,69 708,146,Chambers,52 399
47,Campbell,115 972,97,Knight,69 522,147,Spencer,52 194
48,Anderson,115 333,98,Kennedy,69 299,148,Poole,52 038
49,Allen,112 703,99,Butler,69 298,149,Atkinson,51 520
50,Cook,111 306,100,Saunders,69 004,150,Lawson,50 971
